user_id,item_id,rank
469574,11103,1
469574,10538,2
469574,14260,3
469574,10191,4
469574,4207,5
469574,3446,6
469574,1264,7
469574,15687,8
469574,3552,9
469574,180,10
469574,14507,11
469574,10859,12
469574,11940,13
469574,9115,14
469574,6853,15
469574,8832,16
469574,9198,17
469574,16315,18
469574,4551,19
469574,3495,20
648365,7626,1
648365,12173,2
648365,6837,3
648365,14317,4
648365,7671,5
648365,14414,6
648365,11310,7
648365,7571,8
648365,657,9
648365,1819,10
648365,1287,11
648365,11237,12
648365,12719,13
648365,4436,14
648365,1024,15
648365,16166,16
648365,3935,17
648365,5693,18
648365,3182,19
648365,12981,20
667283,599,1
667283,14414,2
667283,7671,3
667283,6837,4
667283,12719,5
667283,9047,6
667283,6458,7
667283,5693,8
667283,3734,9
667283,2001,10
667283,142,11
667283,11103,12
667283,1287,13
667283,11237,14
667283,657,15
667283,15464,16
667283,4207,17
667283,602,18
667283,8636,19
667283,13865,20
1051642,3446,1
1051642,10191,2
1051642,8832,3
1051642,599,4
1051642,1264,5
1051642,6853,6
1051642,16315,7
1051642,4207,8
1051642,10827,9
1051642,11103,10
1051642,86,11
1051642,11940,12
1051642,11592,13
1051642,936,14
1051642,13622,15
1051642,9198,16
1051642,9311,17
1051642,8356,18
1051642,602,19
1051642,10859,20
621320,599,1
621320,602,2
621320,7671,3
621320,11103,4
621320,4207,5
621320,14414,6
621320,6837,7
621320,12719,8
621320,6314,9
621320,6625,10
621320,3446,11
621320,180,12
621320,5693,13
621320,13355,14
621320,6458,15
621320,1287,16
621320,7766,17
621320,10191,18
621320,11237,19
621320,2041,20
1008034,11103,1
1008034,7671,2
1008034,8608,3
1008034,14414,4
1008034,599,5
1008034,6837,6
1008034,12719,7
1008034,3734,8
1008034,4207,9
1008034,9465,10
1008034,6701,11
1008034,6458,12
1008034,1287,13
1008034,3446,14
1008034,9433,15
1008034,15464,16
1008034,5693,17
1008034,10772,18
1008034,11237,19
1008034,1857,20
1096381,180,1
1096381,3446,2
1096381,460,3
1096381,9198,4
1096381,1264,5
1096381,11940,6
1096381,11103,7
1096381,11592,8
1096381,10827,9
1096381,4207,10
1096381,6837,11
1096381,8356,12
1096381,6853,13
1096381,86,14
1096381,14414,15
1096381,1895,16
1096381,3734,17
1096381,8832,18
1096381,11237,19
1096381,835,20
931524,12719,1
931524,7671,2
931524,1024,3
931524,5693,4
931524,14414,5
931524,15464,6
931524,5906,7
931524,6837,8
931524,14388,9
931524,9524,10
931524,16166,11
931524,1287,12
931524,10772,13
931524,6458,14
931524,11237,15
931524,657,16
931524,1819,17
931524,9211,18
931524,830,19
931524,4559,20
992799,14388,1
992799,1895,2
992799,6837,3
992799,12719,4
992799,1817,5
992799,1678,6
992799,9211,7
992799,6458,8
992799,9465,9
992799,2323,10
992799,10436,11
992799,15787,12
992799,15464,13
992799,2775,14
992799,5693,15
992799,2625,16
992799,11237,17
992799,1287,18
992799,11778,19
992799,657,20
134490,12719,1
134490,1678,2
134490,9211,3
134490,14414,4
134490,386,5
134490,9524,6
134490,657,7
134490,15464,8
134490,2323,9
134490,5693,10
134490,11237,11
134490,15212,12
134490,195,13
134490,10772,14
134490,10786,15
134490,1287,16
134490,11778,17
134490,15081,18
134490,6458,19
134490,3071,20
711831,3734,1
711831,13865,2
711831,1024,3
711831,7671,4
711831,6837,5
711831,12719,6
711831,14414,7
711831,10772,8
711831,9211,9
711831,657,10
711831,16166,11
711831,5693,12
711831,6458,13
711831,11237,14
711831,15464,15
711831,9465,16
711831,1287,17
711831,1819,18
711831,11778,19
711831,8636,20
918368,7671,1
918368,14414,2
918368,12719,3
918368,6837,4
918368,6458,5
918368,9465,6
918368,10436,7
918368,11237,8
918368,15464,9
918368,5693,10
918368,2625,11
918368,657,12
918368,1287,13
918368,11778,14
918368,16166,15
918368,12637,16
918368,1554,17
918368,3784,18
918368,3182,19
918368,14317,20
536472,14317,1
536472,11310,2
536472,7571,3
536472,3935,4
536472,12173,5
536472,4436,6
536472,7626,7
536472,12981,8
536472,14741,9
536472,4740,10
536472,3734,11
536472,7829,12
536472,16166,13
536472,13865,14
536472,11237,15
536472,14703,16
536472,657,17
536472,10772,18
536472,8636,19
536472,14414,20
85740,11310,1
85740,7626,2
85740,6837,3
85740,12173,4
85740,10772,5
85740,3935,6
85740,16166,7
85740,14317,8
85740,4436,9
85740,12719,10
85740,7671,11
85740,7829,12
85740,12981,13
85740,657,14
85740,14414,15
85740,14703,16
85740,13865,17
85740,7571,18
85740,1287,19
85740,14431,20
888755,3446,1
888755,180,2
888755,3552,3
888755,5249,4
888755,1024,5
888755,7671,6
888755,11103,7
888755,1264,8
888755,6837,9
888755,9524,10
888755,11940,11
888755,6853,12
888755,4551,13
888755,4207,14
888755,10596,15
888755,9211,16
888755,11592,17
888755,14414,18
888755,14507,19
888755,936,20
660847,7671,1
660847,6837,2
660847,12719,3
660847,14414,4
660847,830,5
660847,3734,6
660847,6458,7
660847,9465,8
660847,13865,9
660847,3718,10
660847,873,11
660847,11237,12
660847,657,13
660847,11778,14
660847,1287,15
